Trip1,Trip2,Close,PhaseA,PhaseB,PhaseC,Contact
21,63,-25,-15,-977,22,10
13,57,-27,-16,-975,22,10
1,51,-31,-16,-974,21,10
-10,45,-36,-15,-972,21,10
-20,37,-43,-14,-971,23,10
-24,27,-43,-14,-968,22,10
-21,13,-42,-16,-967,21,10
-17,1,-40,-15,-964,22,10
-12,-10,-38,-16,-965,22,10
-10,-24,-30,-15,-963,22,10
-13,-36,-14,-14,-959,22,10
-15,-40,1,-16,-961,23,10
-12,-40,11,-15,-957,24,10
-13,-41,14,-14,-955,22,10
-10,-44,5,-16,-957,23,10
-1,-50,-10,-15,-954,22,10
9,-37,-29,-15,-953,21,10
28,-16,-47,-16,-952,23,10
51,5,-64,-14,-951,22,10
70,33,-61,-16,-949,21,10
81,55,-51,-16,-948,23,10
61,69,-44,-16,-947,23,10
28,72,-43,-14,-947,22,10
8,70,-48,-15,-944,21,10
-6,65,-55,-15,-947,21,10
-16,58,-65,-15,-943,21,10
-25,48,-64,-14,-941,21,10
-26,35,-61,-15,-939,22,10
-28,19,-61,-15,-940,21,10
-27,3,-65,-15,-940,20,10
-23,-7,-70,-15,-936,22,10
-18,-18,-64,-15,-935,22,10
-12,-22,-58,-14,-934,22,10
1,-27,-47,-14,-934,22,10
18,-26,-38,-15,-932,22,10
38,-23,-25,-14,-931,23,10
64,-23,-7,-15,-928,22,10
91,-33,11,-15,-928,22,10
113,-42,46,-15,-926,22,10
130,-48,101,-16,-924,21,10
138,-44,165,-14,-923,22,10
140,-47,217,-16,-923,23,10
141,-48,264,-14,-920,22,10
145,-49,305,-15,-920,21,10
149,-49,345,-14,-919,24,10
161,-45,360,-14,-917,21,10
176,-45,321,-14,-916,21,10
187,-48,282,-15,-916,22,10
193,-48,246,-15,-914,23,10
203,-35,208,-13,-912,23,10
205,-16,168,-14,-911,24,10
209,7,132,-14,-909,21,10
207,28,102,-14,-907,21,10
196,45,75,-15,-907,22,10
182,50,46,-14,-906,22,10
165,55,20,-15,-903,22,10
143,65,-5,-14,-904,23,10
115,79,-26,-15,-902,22,10
86,86,-35,-14,-901,22,10
58,100,-31,-14,-899,21,10
34,109,-14,-14,-901,21,10
16,116,7,-15,-898,21,10
1,117,29,-14,-897,22,10
-18,114,59,-15,-897,21,10
-41,109,147,-15,-897,22,10
-67,98,261,-15,-894,22,10
-55,83,346,-15,-894,22,10
-39,66,399,-14,-893,22,10
-33,51,430,-14,-891,21,10
-30,32,442,-14,-888,23,10
-30,11,440,-14,-889,22,10
-32,-9,429,-14,-888,21,10
-39,-27,409,-15,-888,22,10
-51,-42,386,-14,-886,22,10
-68,-44,354,-15,-884,21,10
-52,-36,317,-14,-883,22,10
-34,-31,276,-14,-884,20,10
-27,-21,227,-15,-883,21,10
-31,3,171,-15,-881,20,10
-41,19,118,-16,-881,22,10
-48,26,73,-15,-876,21,10
-51,32,39,-14,-876,21,10
-62,32,11,-15,-875,22,10
-65,22,-8,-15,-874,22,10
-48,10,-23,-17,-872,22,10
-32,-5,-39,-17,-870,21,10
-15,-26,-53,-16,-870,22,10
0,-48,-68,-17,-868,22,10
16,-30,-56,-16,-867,23,10
34,-8,-44,-16,-867,20,10
